----------------------------------------------------------------------------------------------------
Make Directory citeseer/Continuous_GATConv in Logs
[91mSep27-07:49:44[0m
----------------------------------------------------------------------------------------------------
[citeseer]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.01 diffusion_steps=80 temperature=0.3 schedule=True weight_decay=0.01  skip=False load start=2000
nhid=8 layers=2 linears=1
----------------------------------------------------------------------------------------------------
Pretrain mean-field GNN...
Done!
[EPOCH 8001] | train acc: 9.750e-01 | val acc: 7.360e-01 | test acc: 7.450e-01
[EPOCH 8101] | train acc: 9.667e-01 | val acc: 7.320e-01 | test acc: 7.470e-01
[EPOCH 8201] | train acc: 9.833e-01 | val acc: 7.280e-01 | test acc: 7.380e-01
[EPOCH 8301] | train acc: 9.750e-01 | val acc: 7.380e-01 | test acc: 7.400e-01
[EPOCH 8401] | train acc: 9.500e-01 | val acc: 7.280e-01 | test acc: 7.360e-01
[EPOCH 8501] | train acc: 9.750e-01 | val acc: 7.380e-01 | test acc: 7.430e-01
[EPOCH 8601] | train acc: 9.833e-01 | val acc: 7.320e-01 | test acc: 7.480e-01
[EPOCH 8701] | train acc: 9.833e-01 | val acc: 7.380e-01 | test acc: 7.410e-01
[EPOCH 8801] | train acc: 9.750e-01 | val acc: 7.380e-01 | test acc: 7.420e-01
[EPOCH 8901] | train acc: 9.750e-01 | val acc: 7.340e-01 | test acc: 7.380e-01
[EPOCH 9001] | train acc: 9.667e-01 | val acc: 7.380e-01 | test acc: 7.460e-01
[EPOCH 9101] | train acc: 9.833e-01 | val acc: 7.360e-01 | test acc: 7.450e-01
[EPOCH 9201] | train acc: 9.833e-01 | val acc: 7.280e-01 | test acc: 7.420e-01
[EPOCH 9301] | train acc: 9.750e-01 | val acc: 7.400e-01 | test acc: 7.430e-01
[EPOCH 9401] | train acc: 9.750e-01 | val acc: 7.420e-01 | test acc: 7.490e-01
[EPOCH 9501] | train acc: 9.750e-01 | val acc: 7.360e-01 | test acc: 7.470e-01
[EPOCH 9601] | train acc: 9.750e-01 | val acc: 7.300e-01 | test acc: 7.480e-01
[EPOCH 9701] | train acc: 9.667e-01 | val acc: 7.400e-01 | test acc: 7.400e-01
[EPOCH 9801] | train acc: 9.833e-01 | val acc: 7.300e-01 | test acc: 7.460e-01
[EPOCH 9901] | train acc: 9.833e-01 | val acc: 7.460e-01 | test acc: 7.440e-01
[EPOCH 10001] | train acc: 9.667e-01 | val acc: 7.320e-01 | test acc: 7.450e-01
[EPOCH 10101] | train acc: 9.833e-01 | val acc: 7.400e-01 | test acc: 7.440e-01
[EPOCH 10201] | train acc: 9.833e-01 | val acc: 7.420e-01 | test acc: 7.450e-01
[EPOCH 10301] | train acc: 9.667e-01 | val acc: 7.380e-01 | test acc: 7.390e-01
[EPOCH 10401] | train acc: 9.667e-01 | val acc: 7.380e-01 | test acc: 7.450e-01
[EPOCH 10501] | train acc: 9.750e-01 | val acc: 7.320e-01 | test acc: 7.450e-01
[EPOCH 10601] | train acc: 9.750e-01 | val acc: 7.400e-01 | test acc: 7.530e-01
[EPOCH 10701] | train acc: 9.833e-01 | val acc: 7.400e-01 | test acc: 7.510e-01
[EPOCH 10801] | train acc: 9.750e-01 | val acc: 7.420e-01 | test acc: 7.480e-01
[EPOCH 10901] | train acc: 9.750e-01 | val acc: 7.460e-01 | test acc: 7.520e-01
[EPOCH 11001] | train acc: 9.583e-01 | val acc: 7.340e-01 | test acc: 7.450e-01
[EPOCH 11101] | train acc: 9.583e-01 | val acc: 7.440e-01 | test acc: 7.470e-01
[EPOCH 11201] | train acc: 9.750e-01 | val acc: 7.480e-01 | test acc: 7.490e-01
[EPOCH 11301] | train acc: 9.750e-01 | val acc: 7.360e-01 | test acc: 7.520e-01
[EPOCH 11401] | train acc: 9.750e-01 | val acc: 7.300e-01 | test acc: 7.510e-01
[EPOCH 11501] | train acc: 9.833e-01 | val acc: 7.440e-01 | test acc: 7.500e-01
[EPOCH 11601] | train acc: 9.667e-01 | val acc: 7.400e-01 | test acc: 7.500e-01
[EPOCH 11701] | train acc: 9.833e-01 | val acc: 7.380e-01 | test acc: 7.530e-01
[EPOCH 11801] | train acc: 9.833e-01 | val acc: 7.440e-01 | test acc: 7.450e-01
[EPOCH 11901] | train acc: 9.750e-01 | val acc: 7.400e-01 | test acc: 7.520e-01
[EPOCH 12001] | train acc: 9.750e-01 | val acc: 7.400e-01 | test acc: 7.480e-01
[EPOCH 12101] | train acc: 9.833e-01 | val acc: 7.420e-01 | test acc: 7.470e-01
[EPOCH 12201] | train acc: 9.667e-01 | val acc: 7.420e-01 | test acc: 7.470e-01
[EPOCH 12301] | train acc: 9.667e-01 | val acc: 7.360e-01 | test acc: 7.490e-01
[EPOCH 12401] | train acc: 9.833e-01 | val acc: 7.300e-01 | test acc: 7.460e-01
[EPOCH 12501] | train acc: 9.667e-01 | val acc: 7.460e-01 | test acc: 7.510e-01
[EPOCH 12601] | train acc: 9.750e-01 | val acc: 7.420e-01 | test acc: 7.470e-01
[EPOCH 12701] | train acc: 9.750e-01 | val acc: 7.500e-01 | test acc: 7.480e-01
[EPOCH 12801] | train acc: 9.667e-01 | val acc: 7.340e-01 | test acc: 7.480e-01
[EPOCH 12901] | train acc: 9.750e-01 | val acc: 7.380e-01 | test acc: 7.460e-01
[EPOCH 13001] | train acc: 9.750e-01 | val acc: 7.380e-01 | test acc: 7.500e-01
[EPOCH 13101] | train acc: 9.833e-01 | val acc: 7.380e-01 | test acc: 7.520e-01
[EPOCH 13201] | train acc: 9.750e-01 | val acc: 7.400e-01 | test acc: 7.500e-01
[EPOCH 13301] | train acc: 9.833e-01 | val acc: 7.440e-01 | test acc: 7.450e-01
