----------------------------------------------------------------------------------------------------
Make Directory Computers/Continuous_GATConv in Logs
[91mSep27-04:27:04[0m
----------------------------------------------------------------------------------------------------
[Computers]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0005 diffusion_steps=80 temperature=0.3 schedule=True weight_decay=0.0001  skip=False load start=2000
nhid=16 layers=2 linears=1
----------------------------------------------------------------------------------------------------
Pretrain mean-field GNN...
Done!
[EPOCH 9601] | train acc: 1.000e+00 | val acc: 8.733e-01 | test acc: 8.609e-01
[EPOCH 9701] | train acc: 1.000e+00 | val acc: 8.733e-01 | test acc: 8.600e-01
[EPOCH 9801] | train acc: 1.000e+00 | val acc: 8.833e-01 | test acc: 8.627e-01
[EPOCH 9901] | train acc: 1.000e+00 | val acc: 8.700e-01 | test acc: 8.605e-01
[EPOCH 10001] | train acc: 1.000e+00 | val acc: 8.700e-01 | test acc: 8.610e-01
[EPOCH 10101] | train acc: 1.000e+00 | val acc: 8.700e-01 | test acc: 8.615e-01
[EPOCH 10201] | train acc: 1.000e+00 | val acc: 8.733e-01 | test acc: 8.615e-01
[EPOCH 10301] | train acc: 1.000e+00 | val acc: 8.667e-01 | test acc: 8.601e-01
[EPOCH 10401] | train acc: 1.000e+00 | val acc: 8.667e-01 | test acc: 8.603e-01
[EPOCH 10501] | train acc: 1.000e+00 | val acc: 8.667e-01 | test acc: 8.576e-01
[EPOCH 10601] | train acc: 1.000e+00 | val acc: 8.733e-01 | test acc: 8.619e-01
[EPOCH 10701] | train acc: 1.000e+00 | val acc: 8.733e-01 | test acc: 8.615e-01
[EPOCH 10801] | train acc: 1.000e+00 | val acc: 8.667e-01 | test acc: 8.590e-01
[EPOCH 10901] | train acc: 1.000e+00 | val acc: 8.700e-01 | test acc: 8.604e-01
[EPOCH 11001] | train acc: 1.000e+00 | val acc: 8.667e-01 | test acc: 8.572e-01
[EPOCH 11101] | train acc: 1.000e+00 | val acc: 8.733e-01 | test acc: 8.608e-01
[EPOCH 11201] | train acc: 1.000e+00 | val acc: 8.667e-01 | test acc: 8.595e-01
[EPOCH 11301] | train acc: 1.000e+00 | val acc: 8.667e-01 | test acc: 8.593e-01
[EPOCH 11401] | train acc: 1.000e+00 | val acc: 8.667e-01 | test acc: 8.591e-01
[EPOCH 11501] | train acc: 1.000e+00 | val acc: 8.700e-01 | test acc: 8.599e-01
[EPOCH 11601] | train acc: 1.000e+00 | val acc: 8.700e-01 | test acc: 8.599e-01
[EPOCH 11701] | train acc: 1.000e+00 | val acc: 8.700e-01 | test acc: 8.604e-01
[EPOCH 11801] | train acc: 1.000e+00 | val acc: 8.700e-01 | test acc: 8.596e-01
[EPOCH 11901] | train acc: 1.000e+00 | val acc: 8.667e-01 | test acc: 8.587e-01
[EPOCH 12001] | train acc: 1.000e+00 | val acc: 8.667e-01 | test acc: 8.594e-01
[EPOCH 12101] | train acc: 1.000e+00 | val acc: 8.700e-01 | test acc: 8.599e-01
[EPOCH 12201] | train acc: 1.000e+00 | val acc: 8.700e-01 | test acc: 8.594e-01
[EPOCH 12301] | train acc: 1.000e+00 | val acc: 8.700e-01 | test acc: 8.601e-01
[EPOCH 12401] | train acc: 1.000e+00 | val acc: 8.700e-01 | test acc: 8.608e-01
[EPOCH 12501] | train acc: 1.000e+00 | val acc: 8.700e-01 | test acc: 8.590e-01
[EPOCH 12601] | train acc: 1.000e+00 | val acc: 8.667e-01 | test acc: 8.582e-01
[EPOCH 12701] | train acc: 1.000e+00 | val acc: 8.667e-01 | test acc: 8.596e-01
