----------------------------------------------------------------------------------------------------
Make Directory pubmed/Continuous_GATConv in Logs
[91mSep27-07:16:48[0m
----------------------------------------------------------------------------------------------------
[pubmed]   seed=42
----------------------------------------------------------------------------------------------------
lr=0.0005 diffusion_steps=80 temperature=1 schedule=True weight_decay=0.001  skip=False load start=2000
nhid=8 layers=2 linears=1
----------------------------------------------------------------------------------------------------
Pretrain mean-field GNN...
Done!
[EPOCH 4101] | train acc: 1.000e+00 | val acc: 8.320e-01 | test acc: 8.140e-01
[EPOCH 4201] | train acc: 1.000e+00 | val acc: 8.360e-01 | test acc: 8.120e-01
[EPOCH 4301] | train acc: 1.000e+00 | val acc: 8.300e-01 | test acc: 8.120e-01
[EPOCH 4401] | train acc: 1.000e+00 | val acc: 8.300e-01 | test acc: 8.130e-01
[EPOCH 4501] | train acc: 1.000e+00 | val acc: 8.320e-01 | test acc: 8.140e-01
[EPOCH 4601] | train acc: 1.000e+00 | val acc: 8.280e-01 | test acc: 8.150e-01
[EPOCH 4701] | train acc: 1.000e+00 | val acc: 8.300e-01 | test acc: 8.150e-01
[EPOCH 4801] | train acc: 1.000e+00 | val acc: 8.360e-01 | test acc: 8.150e-01
[EPOCH 4901] | train acc: 1.000e+00 | val acc: 8.320e-01 | test acc: 8.180e-01
[EPOCH 5001] | train acc: 1.000e+00 | val acc: 8.260e-01 | test acc: 8.110e-01
[EPOCH 5101] | train acc: 1.000e+00 | val acc: 8.300e-01 | test acc: 8.140e-01
[EPOCH 5201] | train acc: 1.000e+00 | val acc: 8.320e-01 | test acc: 8.140e-01
[EPOCH 5301] | train acc: 1.000e+00 | val acc: 8.280e-01 | test acc: 8.140e-01
[EPOCH 5401] | train acc: 1.000e+00 | val acc: 8.340e-01 | test acc: 8.160e-01
[EPOCH 5501] | train acc: 1.000e+00 | val acc: 8.280e-01 | test acc: 8.150e-01
[EPOCH 5601] | train acc: 1.000e+00 | val acc: 8.320e-01 | test acc: 8.160e-01
[EPOCH 5701] | train acc: 1.000e+00 | val acc: 8.340e-01 | test acc: 8.160e-01
[EPOCH 5801] | train acc: 1.000e+00 | val acc: 8.360e-01 | test acc: 8.180e-01
[EPOCH 5901] | train acc: 1.000e+00 | val acc: 8.300e-01 | test acc: 8.130e-01
[EPOCH 6001] | train acc: 1.000e+00 | val acc: 8.320e-01 | test acc: 8.150e-01
[EPOCH 6101] | train acc: 1.000e+00 | val acc: 8.340e-01 | test acc: 8.110e-01
